query_id,customer_id,query_date,topic,message,resolved,escalated
QRY-94A7DC3C,CUST-D4FA1C06,2025-03-15,How,"How do I add coverage for home renovations? Can you check on this, please? This matter is critical, awaiting your quick response.",True,True
QRY-CF00E402,CUST-6E54DB1E,2025-04-27,Can,Can I cancel my insurance policy via the app? Please clarify this issue.,False,False
QRY-2528A9B4,CUST-3EEDD709,2025-04-04,How,How do I change my payment method? I would appreciate your prompt response.,True,False
QRY-B6932FC0,CUST-B11C5739,2025-02-10,Can,Can I add my spouse to my insurance plan? This is quite urgent for me. Urgent: Please respond as soon as possible.,False,True
QRY-E178B23D,CUST-1B95CA83,2025-05-01,What,"What is the cancellation procedure for my policy? Can you check on this, please? Please escalate this matter immediately!",False,True
QRY-B29ED91A,CUST-B709CAAE,2025-01-06,What,What documents are needed to renew my policy? This is quite urgent for me. Urgent: Please respond as soon as possible.,True,True
QRY-6581E64E,CUST-01239BC3,2025-05-10,Can,Can I get insurance for rental properties? Please respond at the earliest. Immediate assistance is needed.,False,True
QRY-6E366620,CUST-3956ECA0,2025-05-18,How,How do I update my beneficiary for life insurance? Could you please assist? I am escalating this issue due to its importance.,True,True
QRY-05952578,CUST-C375592C,2025-03-29,What,What is the grace period for policy renewal? Looking forward to your reply.,False,False
QRY-05505944,CUST-CA9D687E,2025-01-13,Are,Are mental health counseling sessions included? Please respond at the earliest.,True,False
QRY-96A07FB8,CUST-D6A58F17,2025-05-14,Can,Can I get insurance for sports equipment? I would appreciate your prompt response.,True,False
QRY-DDD073D3,CUST-B6DD8BCF,2025-02-06,Can,Can I get insurance for business-related risks? I need your help with this. Please treat this with high priority.,True,True
QRY-2F107363,CUST-A787443D,2025-05-19,How,How do I add a new vehicle to my policy? Kindly provide an update. Please escalate this matter immediately!,True,True
QRY-79E264B4,CUST-288641A4,2025-05-08,What,"What is the maximum claim amount for medical expenses? Can you check on this, please?",False,False
QRY-8F0D59B6,CUST-EF966617,2025-02-03,Can,Can I get coverage for accidental injuries? I need your help with this.,True,False
QRY-EFCBC9A3,CUST-57951189,2025-01-20,Are,Are prescription medications covered? I need your help with this.,True,False
QRY-39C93213,CUST-57BC74E7,2025-04-11,Are,"Are mental health sessions reimbursable? Please respond at the earliest. This matter is critical, awaiting your quick response.",False,True
QRY-A858861E,CUST-198592B5,2025-02-09,How,How do I add a second driver to my vehicle insurance? Could you please assist?,False,False
QRY-24027163,CUST-A47293D8,2025-02-19,How,How do I update my payment method? This requires immediate attention. Immediate assistance is needed.,False,True
QRY-E6D619A7,CUST-3E866D3B,2025-04-07,Help,Help me with premium payment processing. Kindly provide an update. Immediate assistance is needed.,True,True
QRY-648CF5FF,CUST-0E43E42E,2025-02-25,How,"How do I update my contact information? Can you check on this, please? This is very urgent, please act fast!",False,True
QRY-4289ACDE,CUST-896C9B3D,2025-01-09,How,How do I check the status of my claim? This is quite urgent for me.,True,False
QRY-FFE24F61,CUST-5540D48C,2025-02-20,Can,Can I get a refund if I cancel early? Looking forward to your reply. Urgent: Please respond as soon as possible.,True,True
QRY-72EAD39C,CUST-3E1C6DDA,2025-03-31,What,What is the grace period for policy renewal? Looking forward to your reply.,False,False
QRY-471DD7E7,CUST-BB1639E0,2025-05-26,Can,Can I add coverage for business equipment at home? I would appreciate your prompt response.,True,False
QRY-A2B9D7F9,CUST-91F01CF1,2025-04-13,Can,Can I increase my coverage after purchasing a policy? Please respond at the earliest.,True,False
QRY-5E328F01,CUST-F1DDCE37,2025-03-01,How,"How can I update my policy to cover additional risks? This is quite urgent for me. This matter is critical, awaiting your quick response.",False,True
QRY-D7259666,CUST-225DDC68,2025-05-19,Can,Can I update my policy details online? I would appreciate your prompt response.,True,False
QRY-26987BA6,CUST-B88D4AAF,2025-04-09,How,"How do I add coverage for home security systems? This is quite urgent for me. This is very urgent, please act fast!",True,True
QRY-4A05DB0C,CUST-D7FC6FBB,2025-04-08,Are,Are maternity expenses covered? Kindly provide an update. I require a prompt resolution.,True,True
QRY-74F859D5,CUST-44EBFF52,2025-04-07,What,What are the terms for policy renewal? Kindly provide an update.,False,False
QRY-D47497CC,CUST-564C6902,2025-05-20,Are,Are mental health consultations covered? This requires immediate attention. Please escalate this matter immediately!,False,True
QRY-EDE603B5,CUST-8079D09B,2025-05-09,What,What documents do I need to renew my insurance? Looking forward to your reply.,False,False
QRY-566E8DA9,CUST-AFF31C9C,2025-05-01,Can,Can I add temporary coverage for a new vehicle? Looking forward to your reply. Please escalate this matter immediately!,True,True
QRY-955CA283,CUST-E82C9650,2025-01-17,How,How long does it take to receive claim payment? Looking forward to your reply.,True,False
QRY-2E97C900,CUST-0096DAA5,2025-03-15,How,How do I update my beneficiary details? This is quite urgent for me.,False,False
QRY-C45AEEAD,CUST-F58DAB04,2025-03-01,Can,Can I get a policy with no waiting period? I would appreciate your prompt response. Please escalate this matter immediately!,False,True
QRY-468C02AE,CUST-751E33E3,2025-01-11,Can,Can I renew my travel insurance while abroad? I need your help with this.,False,False
QRY-F71D6795,CUST-6E1CC7E0,2025-03-23,Can,Can I add a second driver to my auto insurance? This requires immediate attention.,False,False
QRY-5DCD1993,CUST-4A3737D3,2025-05-24,Can,Can I add child coverage to life insurance? I would appreciate your prompt response.,False,False
QRY-80000FE0,CUST-C95627B9,2025-03-13,Can,"Can I insure valuables like jewelry separately? Please clarify this issue. This matter is critical, awaiting your quick response.",True,True
QRY-569B185B,CUST-A9D5AA4D,2025-04-23,Can,Can I add a newborn to my family health insurance? This is quite urgent for me. Immediate assistance is needed.,False,True
QRY-22DDDEEF,CUST-3E0255FC,2025-01-15,Are,Are mental health counseling sessions included? Looking forward to your reply. I require a prompt resolution.,True,True
QRY-F7F4C03D,CUST-0E7D6CEF,2025-02-15,How,How do I add coverage for home security systems? I would appreciate your prompt response.,False,False
QRY-78EA29CE,CUST-11BB15FF,2025-02-25,Can,Can I get insurance for sports equipment? This requires immediate attention.,True,False
QRY-FC3CAAAB,CUST-379A5154,2025-05-02,How,How do I dispute incorrect information on my policy? This is quite urgent for me.,True,False
QRY-0B610511,CUST-5D20BECF,2025-03-19,Are,Are preventive vaccinations covered under health insurance? This is quite urgent for me. I require a prompt resolution.,False,True
QRY-A5FC8A18,CUST-A3104F56,2025-04-17,How,How do I file a claim for emergency surgery? Kindly provide an update. Kindly prioritize my request.,True,True
QRY-296AF853,CUST-A0BDB900,2025-05-13,How,How do I file a claim for emergency medical evacuation? Kindly provide an update. Please escalate this matter immediately!,False,True
QRY-22643542,CUST-06784413,2025-03-15,How,"How often can I update my policy details? This requires immediate attention. This matter is critical, awaiting your quick response.",False,True
QRY-7A3A799B,CUST-DA529B5A,2025-02-08,Can,Can I get roadside assistance in remote areas? I would appreciate your prompt response.,True,False
QRY-E8D665E5,CUST-D57A3729,2025-04-15,Can,Can I purchase insurance for a second home? I need your help with this. I require a prompt resolution.,False,True
QRY-3018482C,CUST-B5B295FF,2025-02-27,Are,Are outpatient surgeries covered? This requires immediate attention.,True,False
QRY-B5524144,CUST-CA8F95AE,2025-01-25,What,What is the cancellation policy for travel insurance? Please clarify this issue. Kindly prioritize my request.,False,True
QRY-F5C2CDD2,CUST-900A0E78,2025-04-20,Can,Can I increase my coverage limits? Looking forward to your reply.,False,False
QRY-1727E8BE,CUST-D363FC97,2025-05-16,Can,Can I add coverage for natural disasters? Please respond at the earliest.,True,False
QRY-50FF8848,CUST-BCA15091,2025-01-11,How,How do I file a claim for theft during travel? This is quite urgent for me.,False,False
QRY-4209181D,CUST-E27D340D,2025-04-23,Is,Is accidental death covered in all life policies? This is quite urgent for me. Urgent: Please respond as soon as possible.,True,True
QRY-B92ADF0C,CUST-661F4A4F,2025-04-20,Can,Can I get coverage for pre-existing conditions? Looking forward to your reply.,False,False
QRY-C5513F7B,CUST-EAFA04B0,2025-04-03,Can,Can I add coverage for business equipment at home? Kindly provide an update. Kindly prioritize my request.,True,True
QRY-073FEFB1,CUST-7D66EB35,2025-01-05,How,"How do I report damage caused by natural disasters? Can you check on this, please? Immediate assistance is needed.",True,True
QRY-5313C06F,CUST-129D11E8,2025-05-25,How,How do I dispute a rejected claim? This requires immediate attention. Immediate assistance is needed.,False,True
QRY-02D4A661,CUST-C1DC092E,2025-02-13,What,What is the waiting period for life insurance claims? This requires immediate attention.,True,False
QRY-870D1A98,CUST-D0B062C5,2025-03-06,How,How do I update my beneficiary for life insurance? Please clarify this issue.,False,False
QRY-2F6D4D3E,CUST-89D73A51,2025-01-22,How,How do I change my policy beneficiary? This requires immediate attention.,False,False
QRY-A1E3060B,CUST-F89D90D4,2025-04-08,Are,Are outpatient treatments covered? Looking forward to your reply.,False,False
QRY-BC253590,CUST-B726C22F,2025-05-02,Are,Are ambulance services covered overseas? Looking forward to your reply. Urgent: Please respond as soon as possible.,False,True
QRY-9C916DE7,CUST-1B37BD30,2025-04-10,Are,Are outpatient treatments reimbursed under my plan? This requires immediate attention. I require a prompt resolution.,False,True
QRY-43966D7A,CUST-F5E00867,2025-04-29,How,How do I add a new driver with a clean record? Kindly provide an update.,False,False
QRY-E47F589A,CUST-F702FECA,2025-03-25,Are,Are ambulance services covered overseas? Please respond at the earliest.,True,False
QRY-E393E818,CUST-1A3D0098,2025-02-03,How,How do I update my policy if I move? This is quite urgent for me. Kindly prioritize my request.,True,True
QRY-AF718024,CUST-1F0B910B,2025-05-14,How,How do I dispute a premium charge on my bill? Please clarify this issue. Kindly prioritize my request.,False,True
QRY-06607C85,CUST-86EEF752,2025-03-03,How,"How do I add coverage for home renovations? Please respond at the earliest. This matter is critical, awaiting your quick response.",False,True
QRY-85232EDA,CUST-65A6F06B,2025-05-24,What,What are the claim settlement timelines? Kindly provide an update. Immediate assistance is needed.,False,True
QRY-634036F3,CUST-15687286,2025-01-31,How,How do I update my policy after buying a new car? Looking forward to your reply.,True,False
QRY-0E8DCAAD,CUST-3DC0E7E2,2025-03-28,Can,Can I get roadside assistance with my auto insurance? This is quite urgent for me.,True,False
QRY-EFFF3D9A,CUST-94DD0548,2025-01-09,How,How do I add flood coverage to my home insurance? I would appreciate your prompt response.,True,False
QRY-7064FE54,CUST-25716403,2025-05-12,What,What happens if my claim is delayed? Please respond at the earliest. Please treat this with high priority.,False,True
QRY-D03BD54E,CUST-6AA897B7,2025-04-21,Can,Can I cancel my insurance policy via the app? I would appreciate your prompt response.,True,False
QRY-FC6B9B58,CUST-DC3AE6CB,2025-03-21,Are,Are outpatient prescription drugs covered? I would appreciate your prompt response.,True,False
QRY-CC647722,CUST-C5DEFD3E,2025-03-14,Can,Can I add my spouse to my insurance plan? I would appreciate your prompt response.,False,False
QRY-17E92C30,CUST-3938C35E,2025-05-20,Can,Can I get insurance for sports equipment? Please respond at the earliest.,True,False
QRY-7B6B9DEA,CUST-23BE0D1F,2025-02-04,Can,Can I add a family member to my health insurance? I would appreciate your prompt response.,True,False
QRY-1B89A40B,CUST-F5AFA1B8,2025-01-28,How,How do I claim life insurance benefits? Please respond at the earliest.,True,False
